9/10/2020 data collected by Mark Richards and Steve Kolthammer,,,,,,,,,,,
Source,None,Na-22,Mn-54,Cs-137,Am-241,Cs-137,Cs-137,Cs-137,Cs-137,Cs-137,Cs-137
Experiment type,Calibration,Calibration,Calibration,Calibration,Calibration,Scattering,Background,Scattering,Background,Scattering,Background
Angle (deg),N/A,N/A,N/A,N/A,N/A,20,20,30,30,45,45
Time (s),100,100,100,100,40,100,100,100,100,300,300
,,,,,,,,,,,
Bin,,,,Count,Count,Count,Count,Count,Count,Count,Count
231,1,17,22,1,0,0,0,0,1,4,7
232,1,21,15,0,0,1,1,1,1,5,4
233,0,18,13,1,0,0,2,1,4,2,3
234,2,26,34,0,0,4,2,0,1,2,1
235,0,24,25,0,0,1,0,0,0,2,1
236,2,19,25,1,0,1,2,1,0,3,2
237,0,19,34,1,1,1,2,0,0,4,4
238,1,24,26,3,2,2,0,1,0,5,3
239,2,19,31,2,1,0,2,4,0,3,5
240,1,14,25,0,0,0,2,0,1,3,4
241,1,21,29,3,0,0,2,1,1,4,4
242,0,23,31,0,1,3,4,0,0,4,8
243,0,13,20,0,1,0,1,1,1,5,3
244,2,21,31,0,2,1,1,0,1,2,2
245,0,17,24,2,0,0,1,0,2,1,2
246,0,25,19,4,0,0,0,0,2,4,6
247,1,17,13,1,0,1,0,1,1,1,1
248,1,20,17,0,0,3,1,2,1,4,2
249,0,24,12,2,1,2,1,0,2,5,2
250,0,24,11,2,1,0,0,1,1,5,1
251,0,18,8,4,1,0,2,0,0,7,5
252,1,15,3,3,0,1,0,0,1,4,0
253,0,19,7,0,0,2,0,0,2,5,5
254,3,21,4,0,0,3,0,1,0,1,0
255,0,19,4,2,0,0,0,0,1,4,2
256,2,19,2,1,0,1,1,1,4,5,5
257,1,19,1,1,0,4,2,1,1,5,2
258,2,20,1,1,0,0,2,1,2,2,4
259,0,15,5,1,0,0,0,0,2,2,1
260,1,18,4,2,0,0,0,1,0,4,6
261,0,13,1,3,1,0,0,1,0,2,0
262,1,17,2,0,1,0,2,2,0,2,2
263,2,18,0,0,1,1,1,2,2,4,2
264,1,21,2,2,0,1,0,1,1,4,4
265,0,19,1,1,0,0,2,3,0,4,3
266,1,27,1,0,1,2,0,0,1,4,4
267,1,21,2,0,0,1,1,1,0,3,1
268,0,26,1,1,1,0,0,2,0,3,7
269,2,21,0,0,0,1,1,1,0,2,5
270,1,29,1,2,0,1,1,1,2,1,3
271,0,14,0,0,1,0,1,0,0,4,4
272,1,18,2,1,0,0,0,0,0,3,2
273,0,24,1,2,0,1,1,0,0,1,3
274,2,27,0,1,0,1,0,0,1,3,2
275,2,20,0,0,1,0,4,1,0,2,2
276,1,30,3,1,0,1,3,1,1,3,4
277,1,24,1,1,0,2,0,0,1,1,4
278,2,21,0,1,0,0,0,0,2,8,3
279,1,14,0,1,1,0,0,1,1,1,2
280,2,22,0,1,0,1,1,2,1,3,2
281,1,20,1,0,0,0,0,1,2,3,2
282,2,20,2,0,0,1,1,0,1,2,4
283,3,19,0,1,0,0,2,2,1,3,1
284,0,26,1,3,0,2,0,0,1,3,1
285,2,24,1,2,0,0,1,1,0,3,5
286,2,16,0,1,0,2,0,0,0,0,1
287,1,21,0,1,0,1,1,1,1,4,2
288,0,12,0,0,0,1,2,2,1,1,7
289,3,21,2,0,1,2,2,0,1,1,5
290,1,16,1,0,0,0,0,0,0,1,1
291,0,15,1,0,1,0,0,1,0,4,4
292,0,20,1,0,0,0,0,1,0,1,0
293,0,11,1,2,2,0,1,0,0,3,0
294,0,20,0,2,0,1,0,3,1,2,6
295,1,20,0,0,1,0,1,0,2,8,1
296,1,14,2,0,1,0,0,0,0,0,1
297,0,20,0,3,1,0,2,2,1,0,1
298,0,11,0,0,0,1,0,0,0,7,1
299,0,16,1,1,1,1,1,0,1,1,5
300,0,14,0,0,0,3,1,0,1,2,4
301,0,10,0,0,0,1,0,0,2,3,1
302,1,13,1,1,0,1,1,0,2,2,2
303,0,8,0,1,1,2,1,1,1,3,1
304,0,7,0,0,1,0,0,2,0,0,2
305,0,6,0,1,0,0,1,1,0,3,1
306,0,9,2,1,0,1,0,0,1,1,4
307,0,7,0,0,1,0,0,0,0,1,2
308,0,3,0,4,3,0,1,1,0,1,4
309,0,8,1,0,0,1,0,0,0,1,3
310,1,9,0,2,0,0,0,0,1,2,2
311,4,9,0,1,0,1,1,3,1,2,3
312,0,2,2,1,1,1,2,0,0,1,1
313,3,8,1,1,0,0,2,2,1,5,1
314,1,5,2,1,1,0,0,1,2,2,2
315,1,3,0,0,0,0,0,0,1,2,2
316,1,4,0,1,1,0,1,0,0,1,5
317,2,7,1,0,1,1,1,0,0,3,1
318,0,3,0,0,0,1,2,2,0,2,4
319,0,5,1,2,1,1,1,4,2,3,2
320,0,8,0,1,0,0,0,2,1,0,1
321,1,7,0,0,0,0,1,0,2,3,3
322,1,3,1,1,0,1,0,2,1,1,2
323,2,6,0,0,0,2,1,2,1,3,0
324,0,1,1,1,0,0,0,0,0,0,1
325,1,6,2,1,1,0,1,0,1,3,4
326,0,3,0,0,0,0,0,1,2,3,1
327,0,6,1,1,1,0,0,2,1,1,2
328,1,2,1,0,0,0,3,0,2,1,1
329,1,7,1,0,0,0,0,1,0,1,2
330,2,5,0,2,0,1,0,0,0,2,0
331,2,7,2,1,0,1,0,0,1,0,0
332,0,6,0,1,0,0,0,1,3,1,1
333,1,12,0,1,0,1,0,0,2,1,2
334,0,7,0,1,0,0,1,0,1,1,0
335,0,8,0,0,1,2,1,1,1,1,0
336,1,7,0,2,1,2,0,0,3,1,3
337,1,5,1,0,0,1,0,0,0,1,3
338,0,14,0,1,0,0,0,0,0,2,2
339,0,7,0,0,1,0,2,0,1,0,1
340,0,11,1,0,0,1,0,0,1,1,4
341,1,16,1,1,0,0,0,0,1,1,2
342,0,13,1,0,0,0,0,0,0,0,3
343,0,13,1,1,0,0,0,0,0,1,1
344,0,21,1,0,0,0,1,0,0,1,0
345,0,22,2,1,0,1,0,0,2,5,1
346,0,20,0,0,0,0,0,0,0,2,0
347,1,39,0,0,0,2,0,0,1,4,4
348,0,20,1,0,0,0,1,2,0,0,2
349,0,35,0,0,1,2,0,0,0,4,4
350,1,42,0,1,2,1,0,0,0,1,2
351,0,43,0,0,1,0,2,2,0,1,2
352,0,33,0,0,0,0,0,0,1,2,0
353,1,39,0,0,0,0,0,0,0,0,1
354,2,46,2,0,0,0,2,2,1,0,1
355,0,50,0,1,0,0,0,0,0,2,0
356,0,41,1,1,0,0,0,2,0,0,2
357,0,39,0,0,0,1,0,1,0,1,1
358,0,57,0,0,0,0,1,0,0,2,3
359,1,47,1,1,1,0,0,0,0,0,1
360,2,37,0,0,0,0,0,0,1,0,0
361,1,42,0,0,0,1,0,0,0,2,0
362,0,35,1,2,0,0,2,0,0,2,1
363,0,38,0,0,0,1,1,0,0,0,1
364,0,32,0,0,0,0,1,0,0,2,1
365,1,30,1,1,1,0,3,0,1,1,1
366,0,31,2,1,0,0,0,0,0,0,1
367,1,29,0,1,0,1,1,1,0,1,1
368,0,19,0,2,0,0,0,0,0,1,0
369,0,19,1,0,0,0,0,0,0,0,2
370,0,16,0,0,1,0,0,0,0,1,2
371,0,7,0,2,1,0,0,0,0,1,0
372,1,8,0,1,0,0,0,1,1,3,1
373,1,7,0,0,0,1,0,1,1,0,3
374,0,6,0,2,0,0,0,0,0,2,1
375,0,12,0,0,1,0,0,0,1,1,1
376,0,8,0,0,0,1,0,1,0,0,0
377,1,5,0,0,0,0,1,1,1,3,0
378,0,4,0,0,0,0,0,0,0,1,2
379,0,2,0,0,0,0,0,0,0,2,0
380,0,5,0,0,0,1,0,0,0,0,1
381,0,3,2,1,0,0,1,0,0,1,1
382,0,2,0,0,0,0,1,0,1,2,0
383,0,2,0,1,0,0,0,0,0,0,2
384,0,2,1,0,0,0,1,1,0,2,2
385,0,2,0,0,1,0,1,0,2,1,3
386,1,1,0,0,0,0,2,0,1,2,1
387,0,1,1,0,1,1,1,0,0,4,2
388,1,3,1,1,0,0,0,2,0,3,2
389,1,2,1,0,0,1,0,0,1,1,3
390,1,1,1,1,0,0,0,1,1,0,2
391,0,0,1,0,0,2,1,0,2,1,1
392,0,3,0,0,0,0,0,1,2,1,4
393,1,0,0,0,1,1,1,1,2,2,0
394,2,1,1,0,0,0,1,2,0,1,0
395,1,0,0,1,0,0,0,0,0,1,2
396,0,0,1,1,0,1,0,0,0,1,1
397,1,1,1,1,0,1,0,0,0,2,4
